Time Serie,EU/US,SWD/US
2001-11-28,1.1283,10.656
2001-11-29,1.1263,10.675
2001-11-30,1.1163,10.674
2001-12-03,1.124,10.7285
2001-12-04,1.1238,10.66
2001-12-05,1.1292,10.61
2001-12-06,1.1216,10.498
2001-12-07,1.123,10.461
2001-12-10,1.1256,10.504
2001-12-11,1.1231,10.516
2001-12-12,1.1179,10.491
2001-12-13,1.1141,10.438
2001-12-14,1.1057,10.493
2001-12-17,1.1062,10.455
2001-12-18,1.1088,10.493
2001-12-19,1.1115,10.499
2001-12-20,1.1146,10.593
2001-12-21,1.1282,10.678
2001-12-24,1.1399,10.823
2001-12-25,ND,ND
2001-12-26,1.1392,10.843
2001-12-27,1.1308,10.705
2001-12-28,1.1335,10.56
2001-12-31,1.1235,10.4571
2002-01-01,ND,ND
2002-01-02,1.1073,10.269
2002-01-03,1.1121,10.2925
2002-01-04,1.1178,10.312
2002-01-07,1.1197,10.3325
2002-01-08,1.1204,10.395
2002-01-09,1.1259,10.395
2002-01-10,1.1204,10.294
2002-01-11,1.123,10.296
2002-01-14,1.1192,10.342
2002-01-15,1.122,10.3485
2002-01-16,1.132,10.475
2002-01-17,1.1364,10.529
2002-01-18,1.1307,10.435
2002-01-21,ND,ND
2002-01-22,1.1315,10.48
2002-01-23,1.1317,10.477
2002-01-24,1.1387,10.517
2002-01-25,1.1554,10.675
2002-01-28,1.1621,10.729
2002-01-29,1.157,10.6625
2002-01-30,1.1563,10.6506
2002-01-31,1.1636,10.672
2002-02-01,1.161,10.68
2002-02-04,1.1514,10.639
2002-02-05,1.1531,10.6575
2002-02-06,1.1504,10.61
2002-02-07,1.1507,10.6345
2002-02-08,1.1459,10.601
2002-02-11,1.1392,10.555
2002-02-12,1.1405,10.567
2002-02-13,1.1455,10.585
2002-02-14,1.1477,10.5475
2002-02-15,1.1455,10.5
2002-02-18,ND,ND
2002-02-19,1.141,10.495
2002-02-20,1.1488,10.565
2002-02-21,1.1478,10.4995
2002-02-22,1.1419,10.445
2002-02-25,1.1477,10.436
2002-02-26,1.1518,10.469
2002-02-27,1.1571,10.495
2002-02-28,1.155,10.47
2002-03-01,1.1558,10.5
2002-03-04,1.1488,10.3925
2002-03-05,1.1496,10.389
2002-03-06,1.14,10.316
2002-03-07,1.137,10.309
2002-03-08,1.1426,10.372
2002-03-11,1.1405,10.353
2002-03-12,1.1417,10.394
2002-03-13,1.1403,10.4075
2002-03-14,1.1343,10.36
2002-03-15,1.1334,10.337
2002-03-18,1.133,10.285
2002-03-19,1.1357,10.265
2002-03-20,1.1317,10.209
2002-03-21,1.1317,10.1975
2002-03-22,1.1375,10.255
2002-03-25,1.1405,10.2765
2002-03-26,1.1406,10.276
2002-03-27,1.146,10.351
2002-03-28,1.148,10.372
2002-03-29,1.1472,10.363
2002-04-01,1.1356,10.237
2002-04-02,1.1387,10.281
2002-04-03,1.1358,10.302
2002-04-04,1.1391,10.325
2002-04-05,1.1357,10.25
2002-04-08,1.1429,10.3675
2002-04-09,1.1373,10.3275
2002-04-10,1.1371,10.355
2002-04-11,1.1326,10.284
2002-04-12,1.1374,10.3155
2002-04-15,1.1361,10.3635
2002-04-16,1.1325,10.382
2002-04-17,1.1255,10.29
2002-04-18,1.1238,10.329
2002-04-19,1.1245,10.29
2002-04-22,1.1265,10.3685
2002-04-23,1.124,10.321
2002-04-24,1.1217,10.313
2002-04-25,1.1138,10.2785
2002-04-26,1.1136,10.273
2002-04-29,1.1077,10.222
2002-04-30,1.1109,10.28
